Hypothesis Emin Emax lon_0 lon_0_err lat_0 lat_0_err sigma sigma_err
H0 0.4 100.0 17.679568758213694 0.009903958380669068 -0.602293456436132 0.008441434316610617 0.5137977621311585 0.009974763949314238
H1 0.4 2.0 17.634987367121067 0.011909825509868341 -0.5899875430703363 0.010349658230041718 0.5459956861656518 0.01218372054365111
H1 2.0 10.0 17.77173728569878 0.0177656455968754 -0.6264152956872664 0.014738470785521358 0.43953030614275435 0.016941544464226323
H1 10.0 100.0 17.941002710795498 0.04825635099380918 -0.5942865567172284 0.046422382738916974 0.29949043713595136 0.05157109097177124
