Hypothesis Emin Emax lon_0 lon_0_err lat_0 lat_0_err sigma sigma_err
H0 0.3 100.0 21.498978845309086 0.0036243266772077566 -0.8886004203425344 0.00360734151216378 0.07770557879547275 0.002995283859522994
H1 0.3 2.0 21.500528459160165 0.006306848891219432 -0.8956600256483264 0.006447092795338637 0.1062920886699908 0.004737361546464982
H1 2.0 10.0 21.49659348581732 0.004373370222370277 -0.880732870156331 0.004274910881254094 0.06075118781625241 0.00321674629787885
H1 10.0 100.0 21.50504679214059 0.005825016081107319 -0.8981169406023956 0.005747819287867384 0.03483687205833655 0.003895065168454904
